City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,dakhla,23.6848,-15.958,23.01,56,83,4.63,EH,1699900842
342,santa clara de valladares,19.6382,-102.4904,27.13,51,34,1.84,MX,1699900843
343,xilin hot,43.9667,116.0333,-11.66,81,6,2.82,CN,1699900843
344,sanctuary point,-35.1114,150.629,17.4,93,97,1.44,AU,1699900843
345,mweka,-4.85,21.5667,20.95,88,100,0.47,CD,1699900843
346,kolonia,50.9333,6.95,13.87,73,0,6.17,DE,1699900793
347,brookings,44.3114,-96.7984,15.21,41,0,6.17,US,1699900749
348,chimore,-16.9833,-65.1333,37.89,32,83,2.02,BO,1699900843
349,nysa,50.4738,17.3344,8.08,86,100,3.45,PL,1699900843
350,gorontalo,0.5412,123.0595,23.9,93,97,1.21,ID,1699900844
351,makurazaki,31.2667,130.3167,10.08,61,0,2.45,JP,1699900844
352,yasuj,30.6682,51.588,12.75,33,0,4.12,IR,1699900832
353,heihe,50.2441,127.4902,-9.68,85,16,2.17,CN,1699900844
354,antonio enes,-16.2325,39.9086,26.05,76,93,3.09,MZ,1699900844
355,kudahuvadhoo,2.6708,72.8944,27.05,78,100,1.19,MV,1699900844
356,guiuan,11.0333,125.7247,28.23,80,100,5.35,PH,1699900844
357,nemuro,43.3236,145.575,3.24,63,14,7.49,JP,1699900844
358,kailua-kona,19.6406,-155.9956,25.98,75,0,0.0,US,1699900845
359,iconha,-20.7931,-40.8111,31.92,57,25,3.74,BR,1699900845
360,key west,24.5557,-81.7826,28.89,76,40,6.17,US,1699900845
361,mead,47.7674,-117.3549,7.29,90,100,0.0,US,1699900845
362,molochnoye,59.2917,39.6787,2.96,88,100,0.89,RU,1699900845
